M/Z,EXPERIMENTAL_M/Z,INTENSITY,SAMPLE,FILE
1761.78747,1761.773,290479.53,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p5_ug_ul,31.csv
1761.78747,1761.8047,127555.67,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p25_ug_ul,181.csv
1761.78747,1761.7888,400598.53,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p25_ug_ul,11.csv
1761.78747,1761.801,389491.03,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p5_ug_ul,11.csv
1761.78747,1761.7924,106010.36,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p125_ug_ul,171.csv
1761.78747,1761.7999,85130.2,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p125_ug_ul,101.csv
1761.78747,1761.784,65439.01,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p25_ug_ul,296.csv
324.92669,324.92902,13469.1455,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0625_ug_ul,281.csv
324.92669,324.92642,57147.234,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0625_ug_ul,21.csv
324.92669,324.928,36349.402,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0156_ug_ul,116.csv
324.92669,324.926,21935.758,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p0312_ug_ul,11.csv
324.92669,324.9264,16465.988,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p25_ug_ul,101.csv
324.92669,324.92752,41942.1,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p0156_ug_ul,11.csv
324.92669,324.9254,7020.4434,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p0156_ug_ul,186.csv
324.92669,324.92587,15625.421,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_3_1_ug_ul,161.csv
324.92669,324.9264,10904.458,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p0078_ug_ul,21.csv
324.92669,324.92596,35546.23,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p0312_ug_ul,6.csv
324.92669,324.92505,54450.094,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0078_ug_ul,146.csv
324.92669,324.92532,109848.08,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p0156_ug_ul,11.csv
324.92669,324.92902,10711.717,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p0156_ug_ul,131.csv
324.92669,324.92606,71317.77,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p0156_ug_ul_rerun,66.csv
324.92669,324.92636,16901.854,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p5_ug_ul,176.csv
324.92669,324.9259,20616.293,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p0078_ug_ul,16.csv
